/home/denis/data/soc-pokec-relationships.txt
Nodes 1632804 Edges 30622564
BlackHoles cnt: 
 Size: 1 cnt 200111
 Size: 2 cnt 11495
 Size: 3 cnt 1948
 Size: 4 cnt 427
 Size: 5 cnt 146
 Size: 6 cnt 52
 Size: 7 cnt 19
 Size: 8 cnt 8
 Size: 9 cnt 7
 Size: 10 cnt 1
 Size: 11 cnt 3
 Size: 12 cnt 3
 Size: 13 cnt 2
 Size: 14 cnt 1
 Size: 15 cnt 1
 Size: 16 cnt 1
 Size: 17 cnt 1
 Size: 18 cnt 1
 Size: 19 cnt 1
 Size: 20 cnt 3
 Size: 21 cnt 1
 Size: 23 cnt 1
 Size: 24 cnt 1
 Size: 25 cnt 1
 Size: 26 cnt 1
 Size: 27 cnt 1
 Size: 28 cnt 1
 Size: 29 cnt 2
 Size: 30 cnt 1
 Size: 31 cnt 1
 Size: 32 cnt 2
 Size: 33 cnt 27
 Size: 34 cnt 1
 Size: 36 cnt 1
 Size: 37 cnt 1
 Size: 1504295 cnt 1
 Size: 1504296 cnt 103747
 Size: 1504297 cnt 5891
 Size: 1504298 cnt 1185
 Size: 1504299 cnt 353
 Size: 1504300 cnt 116
 Size: 1504301 cnt 64
 Size: 1504302 cnt 36
 Size: 1504303 cnt 13
 Size: 1504304 cnt 12
 Size: 1504305 cnt 16
 Size: 1504306 cnt 8
 Size: 1504307 cnt 7
 Size: 1504308 cnt 10
 Size: 1504309 cnt 11
 Size: 1504310 cnt 5
 Size: 1504311 cnt 13
 Size: 1504312 cnt 9
 Size: 1504313 cnt 9
 Size: 1504314 cnt 4
 Size: 1504315 cnt 4
 Size: 1504316 cnt 8
 Size: 1504317 cnt 7
 Size: 1504318 cnt 6
 Size: 1504319 cnt 5
 Size: 1504320 cnt 3
 Size: 1504321 cnt 7
 Size: 1504322 cnt 5
 Size: 1504323 cnt 5
 Size: 1504324 cnt 2
 Size: 1504325 cnt 7
 Size: 1504326 cnt 4
 Size: 1504327 cnt 4
 Size: 1504328 cnt 7
 Size: 1504329 cnt 3
 Size: 1504330 cnt 3
 Size: 1504331 cnt 3
 Size: 1504332 cnt 2
 Size: 1504333 cnt 3
 Size: 1504334 cnt 1
 Size: 1504335 cnt 4
 Size: 1504336 cnt 2
 Size: 1504337 cnt 1
 Size: 1504339 cnt 2
 Size: 1504340 cnt 1
 Size: 1504342 cnt 1
 Size: 1504343 cnt 1
 Size: 1504344 cnt 1
 Size: 1504345 cnt 1
 Size: 1504347 cnt 1
 Size: 1504348 cnt 2
 Size: 1504352 cnt 1
 Size: 1504362 cnt 2
Total: 325893
It took me: 378.34 seconds
