name scale teps_avg time_avg_ms edges_avg
RMAT.02 2 262.843275495 39.555629 10
RMAT.03 3 1234.88112543 32.409668 40
RMAT.04 4 3552.90124952 31.3626926667 111
RMAT.05 5 9130.23730528 33.7400436667 304
RMAT.06 6 23637.6050397 32.477061 765
RMAT.07 7 49693.3482801 38.6369226667 1881
RMAT.08 8 126371.16854 34.463962 4346
RMAT.09 9 270861.737311 35.5864366667 9624
RMAT.10 10 436721.965886 48.564037 21077
RMAT.11 11 725648.480339 63.8310116667 45524
RMAT.12 12 1148583.3097 84.5496653333 96847
RMAT.13 13 1418294.85342 144.305626333 204248
RMAT.14 14 1696040.90675 251.181284333 426005
RMAT.15 15 1906754.77226 464.584668333 882757
RMAT.16 16 1597046.65629 1148.535649 1818007
RMAT.17 17 1275434.28342 2928.69432767 3725297
RMAT.18 18 837834.623743 9135.74870433 7601741
RMAT.19 19 546806.422417 28429.9696287 15458526
RMAT.20 20 347130.116516 91005.6590237 31349296
RMAT.21 21 249761.965586 254053.283532 63421395
RMAT.22 22 156113.485889 824079.322338 128052468
RMAT.23 23 109293.274542 2375239.66543 258135282
RMAT.24 24 77613.7279564 6696684.82089 519653253
RMAT.25 25 0 0 0
SSCA2.02 2 54.3683046218 238.577048 12
SSCA2.03 3 268.540834233 215.939919333 56
SSCA2.04 4 1282.95926077 188.908338667 240
SSCA2.05 5 4070.06748901 233.195702 930
SSCA2.06 6 7646.80430548 211.70036 1444
SSCA2.07 7 16796.547893 175.068696333 2918
SSCA2.08 8 28280.4122204 192.478815667 5336
SSCA2.09 9 41982.6539987 273.077647 10036
SSCA2.10 10 71710.8768853 303.605715333 21058
SSCA2.11 11 180426.029995 241.846641 42604
SSCA2.12 12 500993.353769 186.570326667 87206
SSCA2.13 13 629837.733378 297.648589 175114
SSCA2.14 14 2244322.19643 154.801368667 346954
SSCA2.15 15 3419260.26053 214.402675667 678974
SSCA2.16 16 6030048.24331 256.177505 1355298
SSCA2.17 17 7457765.45053 371.309995333 2717312
SSCA2.18 18 16731326.9769 329.966306667 5449524
SSCA2.19 19 18926426.598 583.858887333 10912550
SSCA2.20 20 24109600.3538 910.133282333 21804574
SSCA2.21 21 26397332.7187 1748.48532667 43589506
SSCA2.22 22 28689386.6373 3093.38196133 87160048
SSCA2.23 23 31235748.6155 5907.20240267 174389808
UR.02 2 4.85064908171 214.948336 1
UR.03 3 11.1696181494 188.479026 2
UR.04 4 72.9579475808 194.474617667 13
UR.05 5 188.754482275 230.383078 42
UR.06 6 473.380715662 331.555208 122
UR.07 7 2065.69348329 138.253053 281
UR.08 8 3114.97502245 242.900292333 595
UR.09 9 7873.56589778 200.547297667 1432
UR.10 10 16358.3871819 223.349015 3096
UR.11 11 27584.306337 268.811702667 7003
UR.12 12 72368.6136287 223.083258 15942
UR.13 13 195156.762747 197.809696 34702
UR.14 14 339351.861685 238.609552333 74780
UR.15 15 1086953.11106 148.078044 160562
UR.16 16 1938113.07877 177.069743333 342125
UR.17 17 4173794.4687 180.874665667 730145
UR.18 18 6583302.41349 238.201936333 1548471
UR.19 19 8958351.0824 368.049701333 3274124
UR.20 20 9150258.26782 755.938609333 6897212
UR.21 21 15138885.8808 957.641363333 14484517
UR.22 22 21813544.058 1454.445044 30367626
UR.23 23 22437740.3876 3403.25697267 63505109
UR.24 24 20610474.8945 6619.44206533 132562463
UR.25 25 18701792.167 15684.6600377 276210688
