Size	Block	Mode	TOT_INS
1000	32	ijk	6627314235
2000	32	ijk	52937483642
3000	32	ijk	1.78573E+11
4000	32	ijk	4.23176E+11
5000	32	ijk	8.26895E+11
1000	32	ikj	2809995112
2000	32	ikj	22312171108
3000	32	ikj	75114952792
4000	32	ikj	1.77827E+11
5000	32	ikj	3.48103E+11
1000	836	ijk	6038078186
2000	836	ijk	48228330494
3000	836	ijk	1.62685E+11
4000	836	ijk	3.85522E+11
5000	836	ijk	7.52853E+11
1000	836	ikj	1580118550
2000	836	ikj	12480511450
3000	836	ikj	41941352828
4000	836	ikj	99202810438
5000	836	ikj	1.93505E+11
