Nodes	first	last	Nums	maxTime	sumTime
32	1000	2000	135	0.00012	0.003559
64	1000	2000	135	0.000098	0.005688
128	1000	2000	135	0.000087	0.010014
256	1000	2000	135	0.000082	0.018493
512	1000	2000	135	0.000079	0.035603
32	10000	20000	1033	0.000664	0.020316
64	10000	20000	1033	0.000438	0.026063
128	10000	20000	1033	0.000321	0.037155
256	10000	20000	1033	0.000263	0.059218
512	10000	20000	1033	0.000234	0.103679
32	100000	200000	8392	0.005469	0.171442
64	100000	200000	8392	0.00305	0.188764
128	100000	200000	8392	0.001839	0.223281
256	100000	200000	8392	0.001234	0.292438
512	100000	200000	8392	0.000934	0.430262
32	1000000	2000000	70435	0.052668	1.669892
64	1000000	2000000	70435	0.02733	1.724362
128	1000000	2000000	70435	0.014681	1.835481
256	1000000	2000000	70435	0.00835	2.058032
512	1000000	2000000	70435	0.005191	2.503259
32	10000000	20000000	606028	0.533725	16.978805
64	10000000	20000000	606028	0.269082	17.093199
128	10000000	20000000	606028	0.137874	17.457034
256	10000000	20000000	606028	0.072251	18.185895
512	10000000	20000000	606028	0.039442	19.644392
32	100000000	200000000	5317482	5.498785	175.168245
64	100000000	200000000	5317482	2.758043	175.626354
128	100000000	200000000	5317482	1.387747	176.555044
256	100000000	200000000	5317482	0.702398	178.36985
512	100000000	200000000	5317482	0.359773	182.007533
